Question Number,Question Body,Question Choices,Question URL
34,Which file should be edited to select the network locations from which Debian installation package files are loaded?,"A. /etc/dpkg/dpkg.cfg
B. /etc/apt/apt.conf
C. /etc/apt/apt.conf.d
D. /etc/apt/sources.list
E. /etc/dpkg/dselect.cfg",https://www.examtopics.com/discussions/linux-foundation/view/93607-exam-lfcs-topic-1-question-34-discussion/
33,"When removing a package, which of the following dpkg options will completely remove the files including configuration files?","A. --clean
B. --delete
C. --purge
D. –remove",https://www.examtopics.com/discussions/linux-foundation/view/93606-exam-lfcs-topic-1-question-33-discussion/
32,SIMULATION - What is the name of the main configuration file for GNU GRUB? (Specify the file name only without any path.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/93604-exam-lfcs-topic-1-question-32-discussion/
31,SIMULATION - In which directory must definition files be placed to add additional repositories to yum?,VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/93603-exam-lfcs-topic-1-question-31-discussion/
30,Which RPM command will output the name of the package which supplied the file /etc/exports?,"A. rpm -F /etc/exports
B. rpm -qf /etc/exports
C. rpm -Kl /etc/exports
D. rpm -qp /etc/exports
E. rpm -qi /etc/exports",https://www.examtopics.com/discussions/linux-foundation/view/93602-exam-lfcs-topic-1-question-30-discussion/
29,SIMULATION - Which world-writable directory should be placed on a separate partition in order to prevent users from being able to fill up the / filesystem? (Specify the full path to the directory.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/93600-exam-lfcs-topic-1-question-29-discussion/
28,Which of the following environment variables overrides or extends the list of directories holding shared libraries?,"A. LD_LOAD_PATH
B. LD_LIB_PATH
C. LD_LIBRARY_PATH
D. LD_SHARE_PATH
E. LD_RUN_PATH",https://www.examtopics.com/discussions/linux-foundation/view/48675-exam-lfcs-topic-1-question-28-discussion/
27,Which function key is used to start Safe Mode in Windows NT?,"A. F10
B. F8
C. F6
D. Windows NT does not support Safe Mode",https://www.examtopics.com/discussions/linux-foundation/view/49957-exam-lfcs-topic-1-question-27-discussion/
25,"When using rpm --verify to check files created during the installation of RPM packages, which of the following information is taken into consideration? (Choose THREE correct answers.)","A. Timestamps
B. MD5 checksums
C. Inodes
D. File sizes
E. GnuPG signatures",https://www.examtopics.com/discussions/linux-foundation/view/93598-exam-lfcs-topic-1-question-25-discussion/
24,Which of the following commands can be used to download the RPM package kernel without installing it?,"A. yum download --no-install kernel
B. yumdownloader kernel
C. rpm --download --package kernel
D. rpmdownload kernel",https://www.examtopics.com/discussions/linux-foundation/view/43641-exam-lfcs-topic-1-question-24-discussion/
23,Which of the following commands lists all currently installed packages when using RPM package management?,"A. yum --query --all
B. yum --list --installed
C. rpm --query --all
D. rpm --list –installed",https://www.examtopics.com/discussions/linux-foundation/view/48671-exam-lfcs-topic-1-question-23-discussion/
22,Which of the following commands updates the linker cache of shared libraries?,"A. mkcache
B. soconfig
C. mkldconfig
D. lddconfig
E. ldconfig",https://www.examtopics.com/discussions/linux-foundation/view/93597-exam-lfcs-topic-1-question-22-discussion/
21,What can the Logical Volume Manager (LVM) be used for? (Choose THREE correct answers.),"A. To create RAID 9 arrays.
B. To dynamically change the size of logical volumes.
C. To encrypt logical volumes.
D. To create snapshots.
E. To dynamically create or delete logical volumes.",https://www.examtopics.com/discussions/linux-foundation/view/93596-exam-lfcs-topic-1-question-21-discussion/
20,Which of the following options is used in a GRUB Legacy configuration file to define the amount of time that the GRUB menu will be shown to the user?,"A. hidemenu
B. splash
C. timeout
D. showmenu",https://www.examtopics.com/discussions/linux-foundation/view/93595-exam-lfcs-topic-1-question-20-discussion/
19,Which of the following commands lists the dependencies of a given dpkg package?,"A. apt-cache depends-on package
B. apt-cache dependencies package
C. apt-cache depends package
D. apt-cache requires package",https://www.examtopics.com/discussions/linux-foundation/view/43640-exam-lfcs-topic-1-question-19-discussion/
18,Which of the following commands is used to update the list of available packages when using dpkg based package management?,"A. apt-get update
B. apt-get upgrade
C. apt-cache update
D. apt-get refresh
E. apt-cache upgrade",https://www.examtopics.com/discussions/linux-foundation/view/43639-exam-lfcs-topic-1-question-18-discussion/
15,Which of the following kernel parameters instructs the kernel to suppress most boot messages?,"A. silent
B. verbose=0
C. nomesg
D. quiet",https://www.examtopics.com/discussions/linux-foundation/view/93590-exam-lfcs-topic-1-question-15-discussion/
14,Which of the following commands will write a message to the terminals of all logged in users?,"A. bcast
B. mesg
C. print
D. wall
E. yell",https://www.examtopics.com/discussions/linux-foundation/view/93589-exam-lfcs-topic-1-question-14-discussion/
13,SIMULATION - Which command will display messages from the kernel that were output during the normal boot sequence?,VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/46315-exam-lfcs-topic-1-question-13-discussion/
12,"What is the first program that is usually started, at boot time, by the Linux kernel when using SysV init?","A. /lib/init.so
B. /sbin/init
C. /etc/rc.d/rcinit
D. /proc/sys/kernel/init
E. /boot/init",https://www.examtopics.com/discussions/linux-foundation/view/46314-exam-lfcs-topic-1-question-12-discussion/
11,Which of the following commands brings a system running SysV init into a state in which it is safe to perform maintenance tasks? (Choose TWO correct answers.),"A. shutdown -R 1 now
B. shutdown -single now
C. init 1
D. telinit 1
E. runlevel 1",https://www.examtopics.com/discussions/linux-foundation/view/93587-exam-lfcs-topic-1-question-11-discussion/
9,SUMULATION - Which file in the /proc filesystem lists parameters passed from the bootloader to the kernel? (Specify the file name only without any path.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/93586-exam-lfcs-topic-1-question-9-discussion/
8,Which of the following are init systems used within Linux systems? (Choose THREE correct answers.),"A. startd
B. systemd
C. Upstart
D. SysInit
E. SysV init",https://www.examtopics.com/discussions/linux-foundation/view/93585-exam-lfcs-topic-1-question-8-discussion/
7,Which of the following commands reboots the system when using SysV init? (Choose TWO correct answers.),"A. shutdown -r now
B. shutdown -r ""rebooting""
C. telinit 6
D. telinit 0
E. shutdown -k now ""rebooting""",https://www.examtopics.com/discussions/linux-foundation/view/93584-exam-lfcs-topic-1-question-7-discussion/
6,Which of the following information is stored within the BIOS? (Choose TWO correct answers.),"A. Boot device order
B. Linux kernel version
C. Timezone
D. Hardware configuration
E. The system's hostname",https://www.examtopics.com/discussions/linux-foundation/view/93583-exam-lfcs-topic-1-question-6-discussion/
5,What of the following statements are true regarding /dev/ when using udev? (Choose TWO correct answers.),"A. Entries for all possible devices get created on boot even if those devices are not connected.
B. Additional rules for udev can be created by adding them to /etc/udev/rules.d/.
C. When using udev, it is not possible to create block or character devices in /dev/ using mknod.
D. The /dev/ directory is a filesystem of type tmpfs and is mounted by udev during system startup.
E. The content of /dev/ is stored in /etc/udev/dev and is restored during system startup.",https://www.examtopics.com/discussions/linux-foundation/view/74309-exam-lfcs-topic-1-question-5-discussion/
4,Which of the following statements is correct when talking about /proc/?,"A. All changes to files in /proc/ are stored in /etc/proc.d/ and restored on reboot.
B. All files within /proc/ are read-only and their contents cannot be changed.
C. All changes to files in /proc/ are immediately recognized by the kernel.
D. All files within /proc/ are only readable by the root user.",https://www.examtopics.com/discussions/linux-foundation/view/88312-exam-lfcs-topic-1-question-4-discussion/
3,Which run levels should never be declared as the default run level when using SysV init? (Choose TWO correct answers.),"A. 0
B. 1
C. 3
D. 5
E. 6",https://www.examtopics.com/discussions/linux-foundation/view/43626-exam-lfcs-topic-1-question-3-discussion/
1,Which SysV init configuration file should be modified to disable the ctrl-alt-delete key combination?,"A. /etc/keys
B. /proc/keys
C. /etc/inittab
D. /proc/inittab
E. /etc/reboot",https://www.examtopics.com/discussions/linux-foundation/view/50997-exam-lfcs-topic-1-question-1-discussion/
2,"During a system boot cycle, what program is executed after the BIOS completes its tasks?","A. The bootloader
B. The inetd program
C. The init program
D. The kernel",https://www.examtopics.com/discussions/linux-foundation/view/50998-exam-lfcs-topic-1-question-2-discussion/
117,Which of the following commands can be used to display the inode number of a given file?,"A. inode
B. ls
C. ln
D. cp",https://www.examtopics.com/discussions/linux-foundation/view/57597-exam-lfcs-topic-1-question-117-discussion/
54,Which of the following commands will NOT update the modify timestamp on the file /tmp/myfile.txt?,"A. file /tmp/myfile.txt
B. echo ""Hello"" >/tmp/myfile.txt
C. sed -ie ""s/1/2/"" /tmp/myfile.txt
D. echo -n ""Hello"" >>/tmp/myfile.txt
E. touch /tmp/myfile.txt",https://www.examtopics.com/discussions/linux-foundation/view/68328-exam-lfcs-topic-1-question-54-discussion/
112,SIMULATION - Which umask value will result in the default access permissions of 600 (rw-------) for files and 700 (rwx------) for directories? (Specify only the numerical umask value.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/45537-exam-lfcs-topic-1-question-112-discussion/
60,What is the effect of the egrep command when the -v option is used?,"A. It enables color to highlight matching parts.
B. It only outputs non-matching lines.
C. It shows the command's version information.
D. It changes the output order showing the last matching line first.",https://www.examtopics.com/discussions/linux-foundation/view/44771-exam-lfcs-topic-1-question-60-discussion/
131,What is the difference between the commands test -e path and test -f path?,"A. They are equivalent options with the same behavior.
B. The -f option tests for a regular file.  The -e option tests for an empty file.
C. Both options check the existence of the path.  The -f option also confirms that it is a regular file.
D. The -f option tests for a regular file.  The -e option tests for an executable file.",https://www.examtopics.com/discussions/linux-foundation/view/45777-exam-lfcs-topic-1-question-131-discussion/
